"year","operatingcarrier","airlinename","totalflights","sumofyearlydelayeddeapartureminutes","sumofyearlydelayedsarrivalminutes","delayeddepartedflights","delayedarrivalflights","ontimeperformancedeparture","ontimeperformancearrival"
"2018","F9","Frontier Airlines Inc.","120032","2711027","2626661","53320","52412","55.5785123966942149","56.3349773393761664"
"2018","G4","Allegiant Air","96221","1630769","1670390","32886","37177","65.8224296151567745","61.3629041477432161"
"2018","HA","Hawaiian Airlines Inc.","83723","418366","495623","21767","27449","74.0011705266175364","67.2145049747381245"
"2018","MQ","Envoy Air","296001","3303719","3729278","83546","105492","71.7750953544075865","64.3609312130702261"
"2018","NK","Spirit Air Lines","176178","2385002","2479848","51119","56368","70.9844588995220743","68.0050857655325864"
"2018","OH","PSA Airlines Inc.","278457","4021368","4011353","100247","106844","63.9991093777495269","61.6299823671159281"
"2018","OO","SkyWest Airlines Inc.","774135","11111928","11838392","203192","265056","73.7523816905320132","65.7610106764324052"
"2018","UA","United Air Lines Inc.","621565","8398591","8902595","185249","214528","70.1963591901088382","65.4858301223524491"
"2018","VX","Virgin America","17670","187977","204995","5382","6338","69.5415959252971138","64.1312959818902094"
"2018","WN","Southwest Airlines Co.","1352552","16812158","14806261","662363","513106","51.0286480667656401","62.0638615003341831"
"2018","YV","Mesa Airlines Inc.","215137","3108248","3329810","60283","79640","71.9792504311206348","62.9817279222077095"
"2018","YX","Republic Airline","316089","3547213","3912825","75838","100385","76.0073903236113879","68.2415395663879477"
"2019","9E","Endeavor Air Inc.","257246","3645482","3695576","64695","70292","74.8509209083911898","72.6751825101264937"
"2019","AA","American Airlines Inc.","946776","13814816","14096412","351196","349784","62.9061150684005509","63.0552527736233280"
"2019","AS","Alaska Airlines Inc.","264817","2576246","2815643","83449","94300","68.4880502384665637","64.3905036308092003"
"2019","AX","Trans States Airlines","76000","1756197","1860492","24015","30952","68.4013157894736842","59.2736842105263158"
"2019","B6","JetBlue Airways","297411","6420069","6268679","115013","110999","61.3285991439455837","62.6782466015043156"
"2019","C5","CommuteAir LLC dba CommuteAir","58052","1683787","1750577","22183","26760","61.7877075725211879","53.9033969544546269"
"2019","CP","Alis Cargo Airlines S.P.A.","94209","1369068","1409853","25794","31544","72.6204502754513900","66.5169994374210532"
"2019","DL","Delta Air Lines Inc.","991986","10750245","10657128","303148","284489","69.4402945202855685","71.3212686469365495"
"2019","EM","Empire Airlines Inc.","8833","71024","77496","2452","3073","72.2404619042228009","65.2100079248273520"
"2019","EV","ExpressJet Airlines LLC d/b/a aha!","134277","2787651","3004312","39253","52325","70.7671455275289141","61.0320456965824378"
"2019","F9","Frontier Airlines Inc.","135543","2511259","2448331","52657","52782","61.1510738289694045","61.0588521723733428"
"2019","G4","Allegiant Air","105305","1536876","1624770","33362","39528","68.3186933194055363","62.4633208299700869"
"2019","G7","GoJet Airlines LLC d/b/a United Express","79063","1653922","1664975","22660","26147","71.3393116881474267","66.9289047974400162"
"2019","HA","Hawaiian Airlines Inc.","83891","421898","496947","24719","28595","70.5343839029216483","65.9141028239024448"
"2019","KS","Peninsula Airways Inc.","1474","33591","34054","717","784","51.3568521031207598","46.8113975576662144"
"2019","MQ","Envoy Air","327084","4149527","4633389","94289","117805","71.1728485648946448","63.9832581232955449"
"2019","NK","Spirit Air Lines","204845","2864074","2834171","65082","66414","68.2286606946715810","67.5784129463740877"
"2019","OH","PSA Airlines Inc.","288989","4081732","4106304","92697","102454","67.9236925972960909","64.5474395219195194"
"2019","OO","SkyWest Airlines Inc.","836755","13463873","13684154","229961","264453","72.5175230503552414","68.3954084528924237"
"2019","PT","Piedmont Airlines","123054","1367642","1474806","30732","39769","75.0255985177239261","67.6816682107042437"
"2019","QX","Horizon Air","121897","910370","1010847","36303","43913","70.2182990557601910","63.9753234287964429"
"2019","UA","United Air Lines Inc.","625910","10222473","10581697","205168","223597","67.2208464475723347","64.2764934255723666"
"2019","WN","Southwest Airlines Co.","1363946","15692786","13517583","621819","457109","54.4102919030518804","66.4862831812989664"
"2019","YV","Mesa Airlines Inc.","227831","3863308","3997880","65720","80957","71.1540571739578898","64.4662052135135254"
"2019","YX","Republic Airline","329596","4136433","4599890","79834","106153","75.7782254639012609","67.7929950606196677"
"2019","ZW","Air Wisconsin Airlines Corp","106894","1742281","1810854","26067","32096","75.6141598218796191","69.9739929275731098"
"2020","9E","Endeavor Air Inc.","117852","473602","524860","11198","16905","90.4982520449377185","85.6557377049180328"
"2020","AA","American Airlines Inc.","985037","7614601","7967842","189831","229213","80.7285411613979982","76.7305187520874850"
