"flightdate","totalflights","ontimeperformancedeparture","ontimeperformancearrival"
"2009-06-02","18049","68.8791622804587512","64.1254363122610671"
"2009-06-03","18341","68.0824382530941606","62.0413281718554059"
"2009-06-04","19046","62.4068045783891631","58.7419930694108999"
"2009-06-05","19166","59.7359908170718982","55.1340916205781071"
"2009-06-06","16171","67.4293488343330654","65.1784057881392616"
"2009-06-07","18146","61.8483412322274882","61.1429516146809214"
"2009-06-08","19109","61.7719399235962112","57.6482285833900256"
"2009-06-09","18737","53.8560068314031062","49.2021134653359663"
"2009-06-10","18835","56.0127422352004247","50.8680647730289355"
"2009-06-11","19197","45.9342605615460749","41.1730999635359692"
"2009-06-12","19287","48.5404676725255353","46.9850158137605641"
"2009-06-13","16439","56.1712999574183344","56.0009732952126042"
"2009-06-14","18306","57.8608106631705452","57.0851087075275866"
"2009-06-15","19223","56.3803776725797222","53.6804869167143526"
"2009-06-16","19060","61.3693599160545645","57.4186778593913956"
"2009-06-17","19142","59.6228189321909936","55.7047330477484066"
"2009-06-18","19243","50.2312529231408824","47.3314971678012784"
"2009-06-19","19328","54.5788493377483444","54.2166804635761589"
"2009-06-20","16464","55.7276482021379981","58.7645772594752187"
"2009-06-21","18323","62.5115974458331059","64.6673579653986793"
"2009-06-22","19251","58.9579762090281024","61.0202067425068828"
"2009-06-23","19110","60.3349031920460492","61.7844060701203558"
"2009-06-24","19188","59.0890139670627476","58.4271419637273296"
"2009-06-25","19277","58.4686413861077969","57.8305752969860455"
"2009-06-26","19331","54.2082665149242150","53.7789043505250634"
"2009-06-27","16476","61.7079388201019665","64.7608642874484098"
"2009-06-28","18337","63.7290723673447129","65.5723400774390576"
"2009-06-29","19265","64.7391642875681287","64.8948871009602907"
"2009-06-30","19099","57.0658149641342479","56.0186397193570344"
"2009-07-01","19274","53.0040469025630383","52.5837916364013697"
"2009-07-02","19399","53.6110108768493221","53.8945306459095830"
"2009-07-03","17512","67.1139789858382823","69.2496573777980813"
"2009-07-04","14071","77.4287541752540687","77.8409494705422500"
"2009-07-05","18359","66.9426439348548396","66.2999074023639632"
"2009-07-06","19362","63.7640739593017250","63.6194607995041835"
"2009-07-07","19221","55.8711825607408564","54.3624161073825503"
"2009-07-08","19304","60.3191048487360133","58.9877745544964774"
"2009-07-09","19377","62.7083655880683284","60.0660576972699592"
"2009-07-10","19425","65.6164736164736165","64.7413127413127413"
"2009-07-11","16551","62.8662920669445955","62.3285602078424264"
"2009-07-12","18428","61.5367918385066204","61.4065552420230085"
"2009-07-13","19356","62.1047737135771854","62.8228972928290969"
"2009-07-14","19211","66.3109676747696632","66.2172713549528916"
"2009-07-15","19292","62.6114451586149699","62.3419033796392287"
"2009-07-16","19370","57.9504388229220444","55.8544140423335054"
"2009-07-17","19430","56.4487905301080803","54.2717447246525991"
"2009-07-18","16552","64.0103914934751087","65.4784920251329145"
"2009-07-19","18436","63.1210674766760686","63.3163376003471469"
"2009-07-20","19344","58.0386683209263854","56.3068651778329198"
"2009-07-21","19190","57.3840541948931735","53.6581552892131318"
