"year","month","origin","sum"
"2016","3","TLH","436"
"2016","3","TPA","61169"
"2016","3","TRI","1043"
"2016","3","TTN","1454"
"2016","3","TUL","5157"
"2016","3","TUS","13836"
"2016","3","TVC","999"
"2016","3","TWF","125"
"2016","3","TXK","410"
"2016","3","TYR","-276"
"2016","3","TYS","3111"
"2016","3","VLD","153"
"2016","3","VPS","2770"
"2016","3","WRG","-308"
"2016","3","XNA","4704"
"2016","3","YAK","-1041"
"2016","3","YUM","-176"
"2016","4","ABE","233"
"2016","4","ABQ","11580"
"2016","4","ABR","613"
"2016","4","ABY","491"
"2016","4","ACT","1452"
"2016","4","ACV","1562"
"2016","4","ACY","2083"
"2016","4","ADK","-153"
"2016","4","ADQ","-203"
"2016","4","AEX","50"
"2016","4","AGS","710"
"2016","4","ALB","3355"
"2016","4","AMA","930"
"2016","4","ANC","-2734"
"2016","4","APN","1273"
"2016","4","ASE","713"
"2016","4","ATL","172969"
"2016","4","ATW","-484"
"2016","4","AUS","34061"
"2016","4","AVL","933"
"2016","4","AVP","17"
"2016","4","AZO","-646"
"2016","4","BDL","9284"
"2016","4","BET","-822"
"2016","4","BFL","-24"
"2016","4","BGM","1285"
"2016","4","BGR","204"
"2016","4","BHM","4185"
"2016","4","BIL","-465"
"2016","4","BIS","452"
"2016","4","BJI","261"
"2016","4","BLI","62"
"2016","4","BMI","41"
"2016","4","BNA","28411"
"2016","4","BOI","5595"
"2016","4","BOS","78118"
"2016","4","BPT","1467"
"2016","4","BQK","201"
"2016","4","BQN","391"
"2016","4","BRD","-227"
"2016","4","BRO","403"
"2016","4","BRW","-493"
"2016","4","BTM","-192"
"2016","4","BTR","3003"
"2016","4","BTV","638"
"2016","4","BUF","5832"
"2016","4","BUR","10318"
"2016","4","BWI","55458"
"2016","4","BZN","385"
"2016","4","CAE","2169"
"2016","4","CAK","2271"
"2016","4","CDC","-372"
"2016","4","CDV","-411"
"2016","4","CHA","2240"
"2016","4","CHO","1332"
"2016","4","CHS","8242"
"2016","4","CID","253"
"2016","4","CIU","896"
"2016","4","CLE","11991"
"2016","4","CLL","89"
"2016","4","CLT","36480"
"2016","4","CMH","6300"
"2016","4","CMX","35"
"2016","4","COD","-221"
"2016","4","COS","4562"
"2016","4","CPR","71"
"2016","4","CRP","693"
"2016","4","CRW","1544"
"2016","4","CSG","97"
"2016","4","CVG","10116"
"2016","4","CWA","-87"
"2016","4","DAB","619"
"2016","4","DAL","59687"
"2016","4","DAY","2192"
"2016","4","DCA","32427"
"2016","4","DEN","114251"
"2016","4","DFW","135037"
"2016","4","DHN","1"
"2016","4","DLH","294"
"2016","4","DRO","100"
"2016","4","DSM","2718"
"2016","4","DTW","55362"
"2016","4","DVL","164"
"2016","4","EAU","645"
"2016","4","ECP","1626"
"2016","4","EGE","-11"
"2016","4","EKO","-147"
"2016","4","ELM","3"
"2016","4","ELP","6647"
"2016","4","ERI","-64"
"2016","4","ESC","111"
"2016","4","EUG","2746"
"2016","4","EVV","-42"
"2016","4","EWN","1034"
"2016","4","EWR","82441"
"2016","4","EYW","339"
"2016","4","FAI","-607"
"2016","4","FAR","794"
"2016","4","FAT","1806"
"2016","4","FAY","1701"
"2016","4","FCA","-828"
"2016","4","FLG","-514"
"2016","4","FLL","67440"
"2016","4","FNT","1137"
"2016","4","FSD","-243"
"2016","4","FSM","211"
"2016","4","FWA","1984"
"2016","4","GCC","-458"
"2016","4","GEG","1732"
"2016","4","GFK","-528"
"2016","4","GGG","-114"
"2016","4","GJT","-1206"
"2016","4","GNV","792"
"2016","4","GPT","2659"
"2016","4","GRB","-315"
"2016","4","GRK","301"
"2016","4","GRR","1208"
"2016","4","GSO","2626"
"2016","4","GSP","4428"
"2016","4","GTF","567"
"2016","4","GTR","439"
"2016","4","GUC","-42"
"2016","4","GUM","-14"
"2016","4","HDN","268"
"2016","4","HIB","506"
"2016","4","HLN","164"
"2016","4","HNL","298"
"2016","4","HOB","-213"
"2016","4","HOU","40254"
"2016","4","HPN","4427"
"2016","4","HRL","1789"
"2016","4","HSV","829"
"2016","4","HYS","-265"
"2016","4","IAD","15688"
"2016","4","IAG","463"
