"year","operatingcarrier","airlinename","totalflights","sumofyearlydelayeddeapartureminutes","sumofyearlydelayedsarrivalminutes"
"2019","C5","CommuteAir LLC dba CommuteAir","58052","1485408","1353884"
"2019","CP","Alis Cargo Airlines S.P.A.","94209","992396","580710"
"2019","DL","Delta Air Lines Inc.","991986","8075787","1171704"
"2019","EM","Empire Airlines Inc.","8833","22673","27106"
"2019","EV","ExpressJet Airlines LLC d/b/a aha!","134277","2217262","1989298"
"2019","F9","Frontier Airlines Inc.","135543","1944471","1159742"
"2019","G4","Allegiant Air","105305","1059899","836133"
"2019","G7","GoJet Airlines LLC d/b/a United Express","79063","1316714","893023"
"2019","HA","Hawaiian Airlines Inc.","83891","108602","53979"
"2019","KS","Peninsula Airways Inc.","1474","30444","29324"
"2019","MQ","Envoy Air","327084","2949474","2183005"
"2019","NK","Spirit Air Lines","204845","2203398","1025244"
"2019","OH","PSA Airlines Inc.","288989","3029828","1890345"
"2019","OO","SkyWest Airlines Inc.","836755","10327807","5888918"
"2019","PT","Piedmont Airlines","123054","772445","437098"
"2019","QX","Horizon Air","121897","496549","221518"
"2019","UA","United Air Lines Inc.","625910","8072804","5128737"
"2019","WN","Southwest Airlines Co.","1363946","13543841","3421593"
"2019","YV","Mesa Airlines Inc.","227831","3057206","2309111"
"2019","YX","Republic Airline","329596","2770308","1517959"
"2019","ZW","Air Wisconsin Airlines Corp","106894","1164913","678166"
"2020","9E","Endeavor Air Inc.","117852","-68962","-845778"
"2020","AA","American Airlines Inc.","985037","3163659","-2674462"
"2020","AS","Alaska Airlines Inc.","204443","-121695","-1204369"
"2020","B6","JetBlue Airways","144163","199833","-714372"
"2020","C5","CommuteAir LLC dba CommuteAir","15901","27744","-16980"
"2020","DL","Delta Air Lines Inc.","825910","1857420","-3438964"
"2020","EM","Empire Airlines Inc.","2089","-1977","-5791"
"2020","EV","ExpressJet Airlines LLC d/b/a aha!","8486","-31270","-48228"
"2020","F9","Frontier Airlines Inc.","91175","78229","-552814"
"2020","G4","Allegiant Air","98489","497418","283109"
"2020","G7","GoJet Airlines LLC d/b/a United Express","17477","-33133","-183863"
"2020","HA","Hawaiian Airlines Inc.","43415","-41578","-123909"
"2020","MQ","Envoy Air","99160","74953","-49448"
"2020","NK","Spirit Air Lines","135102","510628","-415862"
"2020","OH","PSA Airlines Inc.","84025","96304","-148306"
"2020","OO","SkyWest Airlines Inc.","292993","680296","-1043037"
"2020","PT","Piedmont Airlines","26272","2225","-98568"
"2020","QX","Horizon Air","52344","-46559","-191903"
"2020","UA","United Air Lines Inc.","626911","2041562","-2687345"
"2020","WN","Southwest Airlines Co.","961276","902684","-7499158"
"2020","YV","Mesa Airlines Inc.","62040","238423","-58947"
"2020","YX","Republic Airline","106112","-201044","-998540"
"2020","ZW","Air Wisconsin Airlines Corp","21725","-73793","-204479"
"2021","AA","American Airlines Inc.","1674371","15453837","4742815"
"2021","AS","Alaska Airlines Inc.","359458","1292039","176611"
"2021","B6","JetBlue Airways","202702","3308935","2107077"
"2021","DL","Delta Air Lines Inc.","1357322","7624375","-2478070"
"2021","F9","Frontier Airlines Inc.","137142","1554413","880891"
"2021","G4","Allegiant Air","115881","1706220","1709035"
"2021","HA","Hawaiian Airlines Inc.","60654","108019","-74031"
"2021","NK","Spirit Air Lines","191361","2127387","1231448"
"2021","UA","United Air Lines Inc.","1148340","11676312","6343012"
"2021","WN","Southwest Airlines Co.","1064640","13884957","5714236"
"2022","AA","American Airlines Inc.","1759257","20598985","13256847"
"2022","AS","Alaska Airlines Inc.","382544","2365880","1555583"
"2022","B6","JetBlue Airways","273058","6106555","4759871"
"2022","DL","Delta Air Lines Inc.","1448920","14007801","4481507"
"2022","F9","Frontier Airlines Inc.","155482","3198816","2621943"
"2022","G4","Allegiant Air","116877","2086119","2191172"
"2022","HA","Hawaiian Airlines Inc.","73865","726664","637616"
"2022","NK","Spirit Air Lines","232400","3220245","2275209"
"2022","UA","United Air Lines Inc.","1263956","14633234","6621965"
"2022","WN","Southwest Airlines Co.","1307149","18284166","8995621"
"2023","9E","Endeavor Air Inc.","150454","1268341","197260"
"2023","AA","American Airlines Inc.","707372","14041807","10583602"
"2023","AS","Alaska Airlines Inc.","186383","1259982","705533"
"2023","B6","JetBlue Airways","210107","5488407","4309689"
"2023","C5","CommuteAir LLC dba CommuteAir","53205","585667","421769"
"2023","DL","Delta Air Lines Inc.","738244","9207103","3791008"
"2023","F9","Frontier Airlines Inc.","128670","3199646","2751095"
"2023","G4","Allegiant Air","87476","1495264","1455939"
"2023","G7","GoJet Airlines LLC d/b/a United Express","33108","333152","240021"
"2023","HA","Hawaiian Airlines Inc.","60729","649212","666219"
"2023","MQ","Envoy Air","167133","1313079","807943"
"2023","NK","Spirit Air Lines","194830","4143500","3383501"
"2023","OH","PSA Airlines Inc.","145127","1199694","661654"
"2023","OO","SkyWest Airlines Inc.","502219","4574786","2627020"
"2023","PT","Piedmont Airlines","73850","388648","218343"
"2023","QX","Horizon Air","50648","236638","89569"
"2023","UA","United Air Lines Inc.","548575","8283569","5136013"
"2023","WN","Southwest Airlines Co.","1059603","13439671","7634875"
"2023","YV","Mesa Airlines Inc.","66307","1507614","1136300"
"2023","YX","Republic Airline","228303","1049936","-254530"
"2023","ZW","Air Wisconsin Airlines Corp","44826","827158","670910"
